PUNCTUATOR_BITWISE_AND, &
PUNCTUATOR_BITWISE_OR, |
PUNCTUATOR_MULTIPLY, *
PUNCTUATOR_DIVIDE, /
PUNCTUATOR_MINUS, -
PUNCTUATOR_EXCLAMATION_MARK, !
PUNCTUATOR_TILDE, ~
PUNCTUATOR_MINUS_MINUS, --
PUNCTUATOR_LEFT_SHIFT, <<
PUNCTUATOR_RIGHT_SHIFT, >>
PUNCTUATOR_LESS_THAN_EQUAL, <=
PUNCTUATOR_GREATER_THAN_EQUAL, >=
PUNCTUATOR_MOD, %
PUNCTUATOR_BITWISE_XOR, ^
PUNCTUATOR_EXPONENTIATION, **
PUNCTUATOR_MULTIPLY_EQUAL, *=
PUNCTUATOR_EXPONENTIATION_EQUAL, **=
PUNCTUATOR_DIVIDE_EQUAL, /=
PUNCTUATOR_MOD_EQUAL, %=
PUNCTUATOR_MINUS_EQUAL, -=
PUNCTUATOR_LEFT_SHIFT_EQUAL, <<=
PUNCTUATOR_RIGHT_SHIFT_EQUAL, >>=
PUNCTUATOR_UNSIGNED_RIGHT_SHIFT, >>>
PUNCTUATOR_UNSIGNED_RIGHT_SHIFT_EQUAL, >>>=
PUNCTUATOR_BITWISE_AND_EQUAL, &=
PUNCTUATOR_BITWISE_OR_EQUAL, |=
PUNCTUATOR_LOGICAL_AND_EQUAL, &&=
PUNCTUATOR_NULLISH_COALESCING, ??
PUNCTUATOR_LOGICAL_OR_EQUAL, ||=
PUNCTUATOR_LOGICAL_NULLISH_EQUAL, \?\?=
PUNCTUATOR_BITWISE_XOR_EQUAL, ^=
PUNCTUATOR_PLUS, +
PUNCTUATOR_PLUS_PLUS, ++
PUNCTUATOR_PLUS_EQUAL, +=
PUNCTUATOR_LESS_THAN, <
PUNCTUATOR_GREATER_THAN, >
PUNCTUATOR_EQUAL, ==
PUNCTUATOR_NOT_EQUAL, !=
PUNCTUATOR_STRICT_EQUAL, ===
PUNCTUATOR_NOT_STRICT_EQUAL, !==
KEYW_INSTANCEOF, instanceof
KEYW_IN, in
PUNCTUATOR_LOGICAL_AND, &&
PUNCTUATOR_LOGICAL_OR, ||
PUNCTUATOR_SUBSTITUTION, =
PUNCTUATOR_QUESTION_MARK, ?
PUNCTUATOR_AT, @
KEYW_ANY, any
KEYW_UNKNOWN, unknown
KEYW_NEVER, never
KEYW_NUMBER, number
KEYW_BIGINT, bigint
KEYW_BOOLEAN, boolean
KEYW_STRING, string
KEYW_VOID, void
KEYW_OBJECT, object
KEYW_TYPEOF, typeof
KEYW_DELETE, delete
KEYW_OUT, out
